,accuracy,loss,val_accuracy,val_loss
0,0.49047619104385376,6.244121551513672,0.47777777910232544,0.7395696043968201
1,0.6285714507102966,0.648809552192688,0.5555555820465088,0.6676196455955505
2,0.7523809671401978,0.5577911138534546,0.6777777671813965,0.6744583249092102
3,0.7809523940086365,0.47460123896598816,0.6555555462837219,0.6652424335479736
4,0.9047619104385376,0.3528660833835602,0.5666666626930237,0.767610490322113
5,0.8571428656578064,0.2884552776813507,0.6555555462837219,0.6553386449813843
6,0.9476190209388733,0.19470903277397156,0.6666666865348816,0.6504734754562378
7,0.9666666388511658,0.12474208325147629,0.6222222447395325,0.728129506111145
8,0.9904761910438538,0.07831557840108871,0.699999988079071,0.7604789733886719
9,0.9809523820877075,0.06366848945617676,0.7111111283302307,0.8334835767745972
10,0.9809523820877075,0.040346644818782806,0.7333333492279053,0.8587421178817749
11,1.0,0.022686965763568878,0.7777777910232544,0.9213414788246155
12,0.9952380657196045,0.02463107742369175,0.7666666507720947,0.940068244934082
13,1.0,0.022404102608561516,0.699999988079071,1.4965945482254028
14,0.9809523820877075,0.044619061052799225,0.7444444298744202,0.9676663875579834
15,0.9952380657196045,0.023566171526908875,0.6666666865348816,1.0337282419204712
16,1.0,0.023649664595723152,0.699999988079071,1.5580027103424072
17,1.0,0.02543310821056366,0.6222222447395325,1.0610227584838867
18,0.9952380657196045,0.022028664126992226,0.7333333492279053,1.2200387716293335
19,1.0,0.012263194657862186,0.7111111283302307,1.085112452507019
20,1.0,0.006858231965452433,0.7111111283302307,1.411128282546997
21,1.0,0.004002042580395937,0.7444444298744202,1.150628685951233
22,1.0,0.0038138548843562603,0.7444444298744202,1.2172163724899292
23,1.0,0.0021353010088205338,0.7333333492279053,1.388706088066101
24,1.0,0.001545951934531331,0.7444444298744202,1.2808308601379395
25,1.0,0.0011967794271185994,0.7555555701255798,1.2646052837371826
26,1.0,0.0010179337114095688,0.7444444298744202,1.3220521211624146
27,1.0,0.0008681248873472214,0.7444444298744202,1.378118872642517
28,1.0,0.0007725424948148429,0.7444444298744202,1.3626619577407837
29,1.0,0.0006964092026464641,0.7444444298744202,1.3395335674285889
